month,train_window,selected_strategy,selection_reason,matches,bets,active_days,staked,profit,roi_pct,max_drawdown,outcome_counts,available_capacity
2024-08,2024-02-01..2024-07-31,ABSTAIN,no candidate passed both training halves,552,0,0,0.0,0.0,0.0,0.0,{},3100.0
2024-09,2024-03-01..2024-08-31,ABSTAIN,no candidate passed both training halves,618,0,0,0.0,0.0,0.0,0.0,{},3000.0
2024-10,2024-04-01..2024-09-30,ABSTAIN,no candidate passed both training halves,645,0,0,0.0,0.0,0.0,0.0,{},3100.0
2024-11,2024-05-01..2024-10-31,ABSTAIN,no candidate passed both training halves,615,0,0,0.0,0.0,0.0,0.0,{},3000.0
2025-01,2024-07-01..2024-12-31,ABSTAIN,no candidate passed both training halves,672,0,0,0.0,0.0,0.0,0.0,{},3100.0
2025-02,2024-08-01..2025-01-31,ABSTAIN,no candidate passed both training halves,719,0,0,0.0,0.0,0.0,0.0,{},2800.0
2025-03,2024-09-01..2025-02-28,ABSTAIN,no candidate passed both training halves,704,0,0,0.0,0.0,0.0,0.0,{},3100.0
2025-04,2024-10-01..2025-03-31,RC-A-balanced,fixed prior-six-month two-half rule,753,1,1,0.46,0.3,65.22,0.0,{'home': 1},3000.0
2025-05,2024-11-01..2025-04-30,RC-A-balanced,fixed prior-six-month two-half rule,516,10,6,6.2,2.64,42.58,0.73,"{'away': 4, 'draw': 2, 'home': 4}",3100.0
2025-08,2025-02-01..2025-07-31,ABSTAIN,no candidate passed both training halves,608,0,0,0.0,0.0,0.0,0.0,{},3100.0
2025-09,2025-03-01..2025-08-31,ABSTAIN,no candidate passed both training halves,588,0,0,0.0,0.0,0.0,0.0,{},3000.0
2025-10,2025-04-01..2025-09-30,RC-A-balanced,fixed prior-six-month two-half rule,615,28,12,8.82,-3.78,-42.86,3.78,"{'away': 22, 'draw': 2, 'home': 4}",3100.0
2025-11,2025-05-01..2025-10-31,ABSTAIN,no candidate passed both training halves,674,0,0,0.0,0.0,0.0,0.0,{},3000.0
2026-01,2025-07-01..2025-12-31,ABSTAIN,no candidate passed both training halves,726,0,0,0.0,0.0,0.0,0.0,{},3100.0
2026-02,2025-08-01..2026-01-31,RC-C-no-longshots,fixed prior-six-month two-half rule,750,2,1,0.3,0.22,73.33,0.0,{'away': 2},2800.0
2026-03,2025-09-01..2026-02-28,RC-A-balanced,fixed prior-six-month two-half rule,669,30,11,7.0,-0.49,-7.0,1.84,"{'away': 23, 'home': 7}",3100.0
