odds_source,profile,lookback_months,min_active_months,min_bets,min_roi,bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,verdict,passes_gate,fail_reasons
AVG_OPEN,default,12,6,50,0.02,871,82.76,9.5,22.5,28,17,11,3,1,2025-26,304,28.77,research_candidate_requires_live_shadow,True,[]
AVG_OPEN,lookback18,18,6,50,0.02,918,109.45,11.92,28.07,30,19,11,4,0,2025-26,304,28.77,research_candidate_requires_live_shadow,True,[]
AVG_OPEN,stricter_selection,12,8,80,0.04,871,82.76,9.5,22.5,28,17,11,3,1,2025-26,304,28.77,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,default,12,6,50,0.02,863,66.79,7.74,28.54,28,17,11,3,1,2025-26,297,23.17,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,lookback18,18,6,50,0.02,907,83.34,9.19,38.85,30,19,11,4,0,2025-26,297,23.17,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,stricter_selection,12,8,80,0.04,830,46.83,5.64,28.54,27,16,11,3,1,2025-26,297,23.17,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,default,12,6,50,0.02,813,100.37,12.35,18.36,30,18,12,4,0,2025-26,259,36.25,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,lookback18,18,6,50,0.02,910,161.07,17.7,18.36,34,22,12,4,0,2025-26,259,36.25,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,stricter_selection,12,8,80,0.04,748,93.51,12.5,18.36,28,16,12,4,0,2025-26,259,36.25,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,default,12,6,50,0.02,711,42.35,5.96,22.85,26,16,10,3,1,2025-26,252,13.96,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,lookback18,18,6,50,0.02,773,67.23,8.7,20.94,29,18,11,4,0,2025-26,252,13.96,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,stricter_selection,12,8,80,0.04,641,39.09,6.1,22.85,24,14,10,3,1,2025-26,252,13.96,research_candidate_requires_live_shadow,True,[]
B365_OPEN,default,12,6,50,0.02,691,60.68,8.78,21.0,24,14,10,4,0,2025-26,255,20.94,research_candidate_requires_live_shadow,True,[]
B365_OPEN,lookback18,18,6,50,0.02,785,94.88,12.09,21.0,28,16,12,3,1,2025-26,271,33.29,research_candidate_requires_live_shadow,True,[]
B365_OPEN,stricter_selection,12,8,80,0.04,660,56.08,8.5,21.0,23,13,10,4,0,2025-26,255,20.94,candidate_positive_but_unstable,True,[]
B365_CLOSE,default,12,6,50,0.02,688,26.89,3.91,23.93,24,11,13,2,2,2025-26,122,-13.28,not_enough_recent_evidence,False,"['positive_months<=negative_months', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
B365_CLOSE,lookback18,18,6,50,0.02,928,109.97,11.85,20.55,33,20,13,4,0,2025-26,256,7.35,research_candidate_requires_live_shadow,True,[]
B365_CLOSE,stricter_selection,12,8,80,0.04,626,29.69,4.74,21.6,21,9,12,2,2,2025-26,92,-8.45,not_enough_recent_evidence,False,"['positive_months<=negative_months', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
PS_OPEN,default,12,6,50,0.02,390,53.65,13.76,16.63,14,9,5,4,0,2025-26,77,26.55,candidate_positive_but_unstable,True,[]
PS_OPEN,lookback18,18,6,50,0.02,325,39.23,12.07,16.63,12,7,5,3,1,2025-26,77,26.55,candidate_positive_but_unstable,True,[]
PS_OPEN,stricter_selection,12,8,80,0.04,390,53.65,13.76,16.63,14,9,5,4,0,2025-26,77,26.55,candidate_positive_but_unstable,True,[]
PS_CLOSE,default,12,6,50,0.02,472,45.42,9.62,24.68,16,9,7,3,1,2025-26,78,24.4,candidate_positive_but_unstable,True,[]
PS_CLOSE,lookback18,18,6,50,0.02,543,89.35,16.45,16.22,19,13,6,4,0,2025-26,78,24.4,candidate_positive_but_unstable,True,[]
PS_CLOSE,stricter_selection,12,8,80,0.04,472,45.42,9.62,24.68,16,9,7,3,1,2025-26,78,24.4,candidate_positive_but_unstable,True,[]
