odds_source,profile,lookback_months,min_active_months,min_bets,min_roi,bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,verdict,passes_gate,fail_reasons
AVG_CLOSE,default,12,6,50,0.02,81,-0.82,-1.01,15.3,15,5,10,1,2,2024-25,38,-0.03,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'positive_months<=negative_months', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
AVG_CLOSE,lookback18,18,6,50,0.02,170,-28.96,-17.04,35.97,37,13,23,2,5,2025-26,8,-3.37,rejected_negative_edge,False,"['roi<3%', 'profit<=0', 'positive_months<=negative_months', 'drawdown>profit', 'latest_season_bets<10', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
AVG_CLOSE,stricter_selection,12,8,80,0.04,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
PS_CLOSE,default,12,6,50,0.02,465,48.32,10.39,29.74,63,32,29,7,4,2025-26,19,1.6,research_candidate_requires_live_shadow,True,[]
PS_CLOSE,lookback18,18,6,50,0.02,436,43.59,10.0,31.2,60,33,26,8,2,2025-26,26,2.78,research_candidate_requires_live_shadow,True,[]
PS_CLOSE,stricter_selection,12,8,80,0.04,58,10.94,18.86,10.78,8,4,4,1,1,2021-22,40,15.9,not_enough_sample,False,"['bets<100', 'active_months<12', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
MAX_CLOSE,default,12,6,50,0.02,531,-12.79,-2.41,60.07,61,29,31,5,8,2025-26,22,-9.55,rejected_negative_edge,False,"['roi<3%', 'profit<=0', 'positive_months<=negative_months', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
MAX_CLOSE,lookback18,18,6,50,0.02,503,13.62,2.71,45.92,62,33,27,5,6,2025-26,57,-2.94,not_enough_recent_evidence,False,"['roi<3%', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
MAX_CLOSE,stricter_selection,12,8,80,0.04,227,-20.4,-8.99,33.61,25,13,12,3,6,2025-26,22,-9.55,rejected_negative_edge,False,"['roi<3%', 'profit<=0', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
B365_CLOSE,default,12,6,50,0.02,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
B365_CLOSE,lookback18,18,6,50,0.02,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
B365_CLOSE,stricter_selection,12,8,80,0.04,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
