month,decision,reason,prior_candidates,candidate_count,probability_validation,selected,mean_predicted_ev
2017-01,ABSTAIN,no_candidates,,,,,
2017-02,ABSTAIN,no_candidates,,,,,
2017-03,ABSTAIN,no_candidates,,,,,
2017-04,ABSTAIN,no_candidates,,,,,
2017-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,2487.0,90.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2340, 'validation_rows': 147, 'market': {'matches': 49, 'log_loss': 0.930699, 'brier': 0.55271}, 'model': {'matches': 49, 'log_loss': 0.929834, 'brier': 0.552844}, 'log_loss_improvement': 0.000865, 'brier_improvement': -0.000134}",,
2017-06,ABSTAIN,insufficient_prior_validation_rows,2397.0,210.0,"{'passed': False, 'reason': 'insufficient_prior_validation_rows', 'fit_rows': 2280, 'validation_rows': 117}",,
2017-07,INVEST,,2577.0,204.0,"{'passed': True, 'reason': None, 'fit_rows': 2277, 'validation_rows': 300, 'market': {'matches': 100, 'log_loss': 0.973555, 'brier': 0.574825}, 'model': {'matches': 100, 'log_loss': 0.97237, 'brier': 0.572127}, 'log_loss_improvement': 0.001185, 'brier_improvement': 0.002698}",20.0,0.0562
2017-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,2781.0,153.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 504, 'market': {'matches': 168, 'log_loss': 1.042314, 'brier': 0.622901}, 'model': {'matches': 168, 'log_loss': 1.05806, 'brier': 0.63061}, 'log_loss_improvement': -0.015746, 'brier_improvement': -0.007709}",,
2017-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,2934.0,102.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 657, 'market': {'matches': 219, 'log_loss': 1.068022, 'brier': 0.638755}, 'model': {'matches': 219, 'log_loss': 1.088457, 'brier': 0.647924}, 'log_loss_improvement': -0.020435, 'brier_improvement': -0.009169}",,
2017-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,3036.0,171.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 759, 'market': {'matches': 253, 'log_loss': 1.076412, 'brier': 0.644719}, 'model': {'matches': 253, 'log_loss': 1.098098, 'brier': 0.654929}, 'log_loss_improvement': -0.021686, 'brier_improvement': -0.01021}",,
2017-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,3207.0,180.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 930, 'market': {'matches': 310, 'log_loss': 1.079255, 'brier': 0.648489}, 'model': {'matches': 310, 'log_loss': 1.099303, 'brier': 0.658725}, 'log_loss_improvement': -0.020048, 'brier_improvement': -0.010236}",,
2017-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,3267.0,30.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2247, 'validation_rows': 1020, 'market': {'matches': 340, 'log_loss': 1.089308, 'brier': 0.655174}, 'model': {'matches': 340, 'log_loss': 1.109562, 'brier': 0.665729}, 'log_loss_improvement': -0.020254, 'brier_improvement': -0.010555}",,
2018-01,ABSTAIN,no_candidates,,,,,
2018-02,ABSTAIN,no_candidates,,,,,
2018-03,ABSTAIN,no_candidates,,,,,
