source,columns,key,label,rule_id,rule_description,odds_source,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,discovery_bets,discovery_profit,discovery_roi_pct,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision_reasons,decision
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"T1|[0.55,1.00]",AVG_OPEN_rulesre025591d_train30_n80_ev0p02_top1_ridge35_cap0.08,re025591d,rule_league_T1_market_prob_bucket_0p55_1p00,AVG_OPEN,489,229,30,80,0.02,35.0,500,38.67,7.73,229,194.8,8.51,38.2,23,17,6,5,6,5,0.8333,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"T1|[0.55,1.00]",AVG_OPEN_rulesre025591d_train30_n80_ev0p0_top1_ridge35_cap0.08,re025591d,rule_league_T1_market_prob_bucket_0p55_1p00,AVG_OPEN,489,244,30,80,0.0,35.0,500,38.67,7.73,244,188.7,7.73,50.1,23,17,6,5,6,5,0.8333,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"T1|[0.55,1.00]",AVG_OPEN_rulesre025591d_train30_n120_ev0p02_top1_ridge35_cap0.08,re025591d,rule_league_T1_market_prob_bucket_0p55_1p00,AVG_OPEN,489,201,30,120,0.02,35.0,500,38.67,7.73,201,159.7,7.95,38.2,20,15,6,4,6,4,0.6667,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"T1|[0.55,1.00]",AVG_OPEN_rulesre025591d_train30_n120_ev0p0_top1_ridge35_cap0.08,re025591d,rule_league_T1_market_prob_bucket_0p55_1p00,AVG_OPEN,489,216,30,120,0.0,35.0,500,38.67,7.73,216,153.6,7.11,50.1,20,15,6,4,6,4,0.6667,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"T1|[0.55,1.00]",AVG_OPEN_rulesre025591d_train18_n80_ev0p0_top1_ridge35_cap0.08,re025591d,rule_league_T1_market_prob_bucket_0p55_1p00,AVG_OPEN,489,247,18,80,0.0,35.0,500,38.67,7.73,247,112.1,4.54,47.0,22,18,6,4,6,4,0.6667,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\market_bias_diagnostics_v1\market_bias.csv,league|outcome|odds_bucket,"SC0|home|[1.0,1.8)",AVG_OPEN_rulesrd90db82c_train30_n80_ev0p02_top1_ridge10_cap0.08,rd90db82c,rule_league_SC0_odds_bucket_1p0_1p8_outcome_home,AVG_OPEN,315,129,30,80,0.02,10.0,317,15.63,4.93,129,90.8,7.04,37.5,23,14,6,5,6,5,0.8333,['bets<150'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|outcome|odds_bucket,"SC0|home|[1.0,1.8)",AVG_OPEN_rulesrd90db82c_train30_n80_ev0p02_top1_ridge35_cap0.08,rd90db82c,rule_league_SC0_odds_bucket_1p0_1p8_outcome_home,AVG_OPEN,315,128,30,80,0.02,35.0,317,15.63,4.93,128,88.7,6.93,37.5,23,14,6,5,6,5,0.8333,['bets<150'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|outcome|odds_bucket,"SC0|home|[1.0,1.8)",AVG_OPEN_rulesrd90db82c_train30_n120_ev0p0_top1_ridge35_cap0.08,rd90db82c,rule_league_SC0_odds_bucket_1p0_1p8_outcome_home,AVG_OPEN,315,105,30,120,0.0,35.0,317,15.63,4.93,105,69.4,6.61,34.8,16,12,6,3,5,3,0.6,['bets<150'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|outcome|odds_bucket,"SC0|home|[1.0,1.8)",AVG_OPEN_rulesrd90db82c_train30_n120_ev0p02_top1_ridge10_cap0.08,rd90db82c,rule_league_SC0_odds_bucket_1p0_1p8_outcome_home,AVG_OPEN,315,99,30,120,0.02,10.0,317,15.63,4.93,99,57.6,5.82,37.5,17,11,6,3,5,3,0.6,['bets<150'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|outcome|odds_bucket,"SC0|home|[1.0,1.8)",AVG_OPEN_rulesrd90db82c_train30_n120_ev0p0_top1_ridge10_cap0.08,rd90db82c,rule_league_SC0_odds_bucket_1p0_1p8_outcome_home,AVG_OPEN,315,103,30,120,0.0,10.0,317,15.63,4.93,103,57.1,5.54,37.5,16,12,6,3,5,3,0.6,['bets<150'],REJECT_RESEARCH_GATES
