date,matches_available,picks,bankroll_before,staked,profit,bankroll_after
2025-04-01,28,5,100.0,100.0,-100.0,0.0
2025-04-02,10,0,0.0,0.0,0.0,0.0
2025-04-03,1,0,0.0,0.0,0.0,0.0
2025-04-04,18,0,0.0,0.0,0.0,0.0
2025-04-05,92,0,0.0,0.0,0.0,0.0
2025-04-06,50,0,0.0,0.0,0.0,0.0
2025-04-07,11,0,0.0,0.0,0.0,0.0
2025-04-08,16,0,0.0,0.0,0.0,0.0
2025-04-09,3,0,0.0,0.0,0.0,0.0
2025-04-10,1,0,0.0,0.0,0.0,0.0
2025-04-11,20,0,0.0,0.0,0.0,0.0
2025-04-12,88,0,0.0,0.0,0.0,0.0
2025-04-13,52,0,0.0,0.0,0.0,0.0
2025-04-14,7,0,0.0,0.0,0.0,0.0
2025-04-15,1,0,0.0,0.0,0.0,0.0
2025-04-16,1,0,0.0,0.0,0.0,0.0
2025-04-17,1,0,0.0,0.0,0.0,0.0
2025-04-18,51,0,0.0,0.0,0.0,0.0
2025-04-19,43,0,0.0,0.0,0.0,0.0
2025-04-20,35,0,0.0,0.0,0.0,0.0
2025-04-21,41,0,0.0,0.0,0.0,0.0
2025-04-22,7,0,0.0,0.0,0.0,0.0
2025-04-23,15,0,0.0,0.0,0.0,0.0
2025-04-24,8,0,0.0,0.0,0.0,0.0
2025-04-25,25,0,0.0,0.0,0.0,0.0
2025-04-26,76,0,0.0,0.0,0.0,0.0
2025-04-27,45,0,0.0,0.0,0.0,0.0
2025-04-28,8,0,0.0,0.0,0.0,0.0
2025-04-29,3,0,0.0,0.0,0.0,0.0
2025-04-30,2,0,0.0,0.0,0.0,0.0
