columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
league|outcome|odds_bucket,"P1|away|[1.0,1.8)",258,23.2,8.99,50,34,16,2026-05,-1.46,36.9891
league|market_prob_bucket,"P1|[0.55,1.00]",606,22.11,3.65,50,34,16,2026-05,-5.95,36.4013
league|odds_bucket|market_prob_bucket,"P1|[1.0,1.8)|[0.55,1.00]",606,22.11,3.65,50,34,16,2026-05,-5.95,36.4013
league|market_prob_bucket|favorite_relation,"P1|[0.55,1.00]|market_favorite",606,22.11,3.65,50,34,16,2026-05,-5.95,36.4013
league|outcome|market_prob_bucket,"P1|away|[0.55,1.00]",247,25.51,10.33,49,33,16,2026-05,-1.46,35.1361
league|outcome|odds_bucket,"T1|away|[1.0,1.8)",157,24.4,15.54,48,32,16,2026-05,0.05,33.7096
league|outcome|odds_bucket,"SC0|home|[1.0,1.8)",317,15.63,4.93,52,34,18,2026-05,-0.32,32.5424
league|market_prob_bucket,"T1|[0.55,1.00]",500,38.67,7.73,51,32,18,2026-05,0.74,28.8507
league|odds_bucket|market_prob_bucket,"T1|[1.0,1.8)|[0.55,1.00]",500,38.67,7.73,51,32,18,2026-05,0.74,28.8507
league|market_prob_bucket|favorite_relation,"T1|[0.55,1.00]|market_favorite",500,38.67,7.73,51,32,18,2026-05,0.74,28.8507
league|outcome|market_prob_bucket,"SC0|home|[0.55,1.00]",283,15.0,5.3,52,33,19,2026-05,-1.03,28.583
league|odds_bucket,"P1|[1.0,1.8)",657,14.54,2.21,50,32,18,2026-05,-7.95,28.2434
league|odds_bucket|favorite_relation,"P1|[1.0,1.8)|market_favorite",657,14.54,2.21,50,32,18,2026-05,-7.95,28.2434
league|outcome|odds_bucket,"SP1|away|[1.8,2.2)",154,25.73,16.71,46,29,16,2026-05,0.05,27.8379
league|outcome|odds_bucket,"I1|away|[1.0,1.8)",240,25.06,10.44,49,31,18,2026-05,1.29,27.1486
league|outcome|market_prob_bucket,"I2|home|[0.55,1.00]",233,10.4,4.46,49,31,18,2026-05,0.64,26.491
league|outcome|market_prob_bucket,"G1|draw|[0.28,0.34)",552,24.11,4.37,49,31,18,2026-05,2.51,26.4805
league|odds_bucket|market_prob_bucket,"B1|[2.8,3.5)|[0.20,0.28)",314,54.9,17.48,52,32,20,2026-05,4.05,25.9232
league|outcome|market_prob_bucket,"SP1|home|[0.55,1.00]",502,30.88,6.15,50,31,19,2026-05,2.95,24.6767
league|outcome|odds_bucket,"B1|draw|[2.8,3.5)",412,7.05,1.71,52,32,20,2026-05,-0.2,24.1882
league|outcome|market_prob_bucket,"I1|away|[0.55,1.00]",207,21.49,10.38,49,30,19,2026-05,0.59,23.142
league|market_prob_bucket,"I2|[0.55,1.00]",249,8.71,3.5,49,30,19,2026-05,-1.36,22.3848
league|odds_bucket|market_prob_bucket,"I2|[1.0,1.8)|[0.55,1.00]",249,8.71,3.5,49,30,19,2026-05,-1.36,22.3848
league|market_prob_bucket|favorite_relation,"I2|[0.55,1.00]|market_favorite",249,8.71,3.5,49,30,19,2026-05,-1.36,22.3848
league|odds_bucket,"E2|[1.0,1.8)",780,23.09,2.96,49,30,19,2026-05,1.0,22.3256
league|odds_bucket|favorite_relation,"E2|[1.0,1.8)|market_favorite",780,23.09,2.96,49,30,19,2026-05,1.0,22.3256
league|outcome|odds_bucket,"N1|draw|[5.0,7.0)",229,46.5,20.31,49,29,19,2026-05,-4.0,22.2336
league|outcome|odds_bucket,"I2|draw|[2.8,3.5)",1454,168.06,11.56,50,30,20,2026-05,-3.6,21.2714
league|outcome|odds_bucket,"I2|home|[1.0,1.8)",316,14.06,4.45,50,30,20,2026-05,0.64,20.4894
league|outcome|favorite_relation,T1|away|market_favorite,483,11.2,2.32,52,31,21,2026-05,-1.99,20.2551
league|outcome|market_prob_bucket,"F1|away|[0.20,0.28)",357,26.96,7.55,51,30,21,2026-05,1.1,18.8307
league|outcome|market_prob_bucket,"I1|draw|[0.28,0.34)",603,34.23,5.68,49,29,20,2026-05,-5.3,18.6244
league|outcome|odds_bucket,"SP1|home|[1.0,1.8)",566,27.83,4.92,51,30,21,2026-05,5.16,18.5409
league|market_prob_bucket,"E2|[0.55,1.00]",596,14.05,2.36,49,29,20,2026-05,2.0,18.2593
league|odds_bucket|market_prob_bucket,"E2|[1.0,1.8)|[0.55,1.00]",596,14.05,2.36,49,29,20,2026-05,2.0,18.2593
league|market_prob_bucket|favorite_relation,"E2|[0.55,1.00]|market_favorite",596,14.05,2.36,49,29,20,2026-05,2.0,18.2593
league|odds_bucket,"B1|[1.0,1.8)",609,8.07,1.33,53,31,22,2026-05,0.76,18.1458
